Data,Historico,Fechamento,Variacao do dia (%),Abertura,Minimo,Medio,Maximo,Volume,Negocios
03/05/2018,16.49,16.49,1.54,16.25,16.18,16.37,16.59,111896305,15607
02/05/2018,16.24,16.24,-2.46,16.45,16.24,16.5,16.79,118748176,14063
30/04/2018,16.65,16.65,-0.18,16.62,16.51,16.63,16.81,59553080,7376
27/04/2018,16.68,16.68,-2,17.21,16.59,16.77,17.22,170545825,11689
26/04/2018,17.02,17.02,1.49,16.77,16.73,16.98,17.16,94539614,10798
25/04/2018,16.77,16.77,0.06,16.51,16.36,16.66,16.96,77733510,9537
24/04/2018,16.76,16.76,0.18,16.9,16.59,16.86,17.13,108380569,13252
23/04/2018,16.73,16.73,-1.3,17.05,16.66,16.78,17.07,104699094,10554
20/04/2018,16.95,16.95,-1.28,17.23,16.77,17.01,17.32,108914676,10036
19/04/2018,17.17,17.17,-0.98,17.2,16.96,17.17,17.49,148509286,15936
18/04/2018,17.34,17.34,3.21,16.9,16.9,17.29,17.5,182432390,22341
17/04/2018,16.8,16.8,2.69,16.44,16.42,16.69,16.86,120049875,10606
16/04/2018,16.36,16.36,-0.3,16.32,16.11,16.37,16.5,159379542,18421
13/04/2018,16.41,16.41,-0.24,16.59,16.41,16.52,16.73,128013082,13066
12/04/2018,16.45,16.45,2.68,16,15.98,16.36,16.52,120243326,10115
11/04/2018,16.02,16.02,-0.74,16.07,15.95,16.09,16.39,115926941,9493
10/04/2018,16.14,16.14,2.09,16.08,15.78,16.06,16.27,144527835,15488
09/04/2018,15.81,15.81,-1.98,16.23,15.64,15.86,16.32,146863732,18293
06/04/2018,16.13,16.13,-1.53,16.26,15.96,16.18,16.49,149247604,13384
05/04/2018,16.38,16.38,6.71,15.89,15.73,16.1,16.4,206060024,16382
04/04/2018,15.35,15.35,-2.42,15.26,15.18,15.35,15.51,114960276,14723 
Parte inferior do formulário
