Data,Historico,Fechamento,Variacao do dia (%),Abertura,Minimo,Medio,Maximo,Volume,Negocios
04/05/2018,7.8,7.8,1.56,7.63,7.63,7.79,7.92,59043941,7271
03/05/2018,7.68,7.68,-0.65,7.74,7.55,7.64,7.77,75506062,8598
02/05/2018,7.73,7.73,-1.15,7.84,7.65,7.77,7.87,62241430,8039
30/04/2018,7.82,7.82,-1.76,7.94,7.81,7.87,7.99,57930154,6786
27/04/2018,7.96,7.96,-1.24,8.07,7.88,7.98,8.13,88330447,9599
26/04/2018,8.06,8.06,2.03,7.93,7.87,7.97,8.06,56781339,6750
25/04/2018,7.9,7.9,-0.75,7.9,7.77,7.88,8,53147956,7310
24/04/2018,7.96,7.96,-0.38,8.05,7.9,8.02,8.16,71937898,7575
23/04/2018,7.99,7.99,-1.11,8.08,7.95,8,8.09,44676934,5438
20/04/2018,8.08,8.08,-0.25,8.03,7.98,8.05,8.13,68015110,10500
19/04/2018,8.1,8.1,-0.86,8.22,8,8.12,8.31,103692244,12657
18/04/2018,8.17,8.17,4.34,7.94,7.94,8.12,8.24,159080686,19408
17/04/2018,7.83,7.83,2.89,7.68,7.66,7.81,7.9,74009291,11593
16/04/2018,7.61,7.61,-1.81,7.64,7.56,7.64,7.73,76286910,10377
13/04/2018,7.75,7.75,0.65,7.76,7.67,7.77,7.86,86777542,10143
12/04/2018,7.7,7.7,3.77,7.43,7.41,7.61,7.73,98082659,12108
11/04/2018,7.42,7.42,0,7.35,7.32,7.45,7.54,60467156,8375
10/04/2018,7.42,7.42,2.34,7.35,7.31,7.37,7.45,62685930,9244
09/04/2018,7.25,7.25,-2.68,7.51,7.25,7.33,7.55,79446597,7908
06/04/2018,7.45,7.45,-0.8,7.47,7.34,7.43,7.55,74702386,8495
05/04/2018,7.51,7.51,6.52,7.25,7.21,7.38,7.55,109169667,15661
04/04/2018,7.05,7.05,-1.54,6.99,6.93,6.99,7.05,64975001,8464
03/04/2018,7.16,7.16,0,7.23,7.11,7.18,7.26,64996682,10567
02/04/2018,7.16,7.16,0.28,7.18,7.05,7.15,7.28,74006517,14506
