Data,Historico,Fechamento,Variacao do dia (%),Abertura,Minimo,Medio,Maximo,Volume,Negocios
03/05/2018,10.59,10.59,-2.22,10.8,10.4,10.62,10.84,91438512,16691
02/05/2018,10.83,10.83,-0.64,10.95,10.8,10.97,11.12,91075816,13442
30/04/2018,10.9,10.9,1.68,10.74,10.74,10.83,10.9,40009225,7217
27/04/2018,10.72,10.72,-2.63,11.14,10.72,10.9,11.2,95293063,12035
26/04/2018,11.01,11.01,1.54,10.9,10.86,11,11.1,84078677,10022
25/04/2018,10.89,10.84,1.3,10.58,10.33,10.61,10.84,129989057,17340
24/04/2018,10.75,10.7,-2.18,11.11,10.63,10.89,11.18,136956447,17484
23/04/2018,10.99,10.94,-2.31,11.24,10.92,11.05,11.31,100443372,9760
20/04/2018,11.25,11.2,-1.75,11.35,11.07,11.28,11.61,166090780,15163
19/04/2018,11.45,11.4,3.53,11.19,11.11,11.29,11.4,173344355,17914
18/04/2018,11.06,11.01,8.01,10.55,10.54,10.87,11.1,234246059,21488
17/04/2018,10.24,10.2,2.09,10.14,10.13,10.29,10.43,87565184,15739
16/04/2018,10.03,9.99,-4.66,10.47,9.99,10.14,10.47,87793715,18206
13/04/2018,10.52,10.47,-0.19,10.55,10.41,10.5,10.62,87554084,9008
12/04/2018,10.54,10.49,3.23,10.12,10.12,10.37,10.5,85616399,10957
11/04/2018,10.21,10.17,0.99,10.03,9.99,10.16,10.3,73009655,10687
10/04/2018,10.11,10.07,0.5,10.22,10,10.12,10.28,82485637,10717
09/04/2018,10.06,10.02,-3.55,10.5,10.02,10.21,10.5,73671233,12844
06/04/2018,10.43,10.38,-1.42,10.45,10.29,10.4,10.57,80248952,8378
05/04/2018,10.58,10.53,0.76,10.79,10.5,10.64,10.88,95346082,12021
04/04/2018,10.5,10.45,-2.05,10.43,10.28,10.44,10.63,100271546,10467 
Parte inferior do formulário
