Data,Historico,Fechamento,Variacao do dia (%),Abertura,Minimo,Medio,Maximo,Volume,Negocios
03/05/2018,49.09,49.09,0.78,48.81,48.58,49,49.33,685654516,29137
02/05/2018,48.71,48.71,0.08,48.5,48.42,48.93,49.32,807477251,33854
30/04/2018,48.67,48.67,0.66,48.26,48.15,48.57,48.83,409827918,17866
27/04/2018,48.35,48.35,-0.72,48.9,47.86,48.36,49.15,705960241,23201
26/04/2018,48.7,48.7,1.56,47.7,47.62,48.39,49,640269236,21201
25/04/2018,47.95,47.95,-0.75,47.75,47.44,47.96,48.49,739182465,21774
24/04/2018,48.31,48.31,1.71,47.7,47.7,48.23,48.59,727531219,25053
23/04/2018,47.5,47.5,-0.27,47.22,47.06,47.48,47.98,558757218,25100
20/04/2018,47.63,47.63,-0.42,47.76,47.33,47.59,47.9,483544607,16793
19/04/2018,47.83,47.83,0.74,47.78,47.4,47.84,48.17,769374752,30698
18/04/2018,47.48,47.48,3.37,47,46.85,47.54,48.08,1309553231,45596
17/04/2018,45.93,45.93,3.12,44.6,44.56,45.57,46,605859745,28897
16/04/2018,44.54,44.54,-0.98,44.61,44.31,44.52,44.85,507147278,18069
13/04/2018,44.98,44.98,0.38,44.85,44.6,44.93,45.17,693945473,27103
12/04/2018,44.81,44.81,0.38,44.42,44.32,44.67,44.86,436862066,16337
11/04/2018,44.64,44.64,-0.45,44.56,44.22,44.62,45.06,788422866,22934
10/04/2018,44.84,44.84,4.4,43.8,43.67,44.34,44.84,993556661,29673
09/04/2018,42.95,42.95,0.49,43.07,42.21,42.8,43.23,500953061,21022
06/04/2018,42.74,42.74,-1.18,42.91,42.25,42.65,43.1,480971503,16507
05/04/2018,43.25,43.25,1.65,43.31,43.03,43.37,43.69,636535003,34353
04/04/2018,42.55,42.55,-0.75,41.8,41.59,42.1,42.6,522678171,19659 
