date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-04-09,4.73,4.77,4.55,4.56,9133135,9133135,-0.17,-3.594,4.6175,Apr 9,0
2018-04-10,4.65,4.72,4.55,4.69,9036116,9036116,0.13,2.851,4.6493,Apr 10,0.028508771929824737
2018-04-11,4.69,4.775,4.65,4.68,7365110,7365110,-0.01,-0.213,4.6985,Apr 11,0.026315789473684237
2018-04-12,4.72,4.83,4.69,4.79,4157018,4157018,0.11,2.35,4.7697,Apr 12,0.05043859649122817
2018-04-13,4.84,4.86,4.73,4.76,5302509,5302509,-0.03,-0.626,4.7824,Apr 13,0.043859649122807064
2018-04-16,4.77,4.77,4.66,4.75,7013579,7013579,-0.01,-0.21,4.7225,Apr 16,0.041666666666666755
2018-04-17,4.79,4.92,4.775,4.87,6320792,6320792,0.12,2.526,4.862,Apr 17,0.06798245614035099
2018-04-18,5.04,5.13,5,5.07,6730817,6730817,0.2,4.107,5.0779,Apr 18,0.11184210526315805
2018-04-19,5.05,5.09,4.94,5.02,5678678,5678678,-0.05,-0.986,5.0101,Apr 19,0.10087719298245613
2018-04-20,5,5.01,4.865,4.91,6143762,6143762,-0.11,-2.191,4.925,Apr 20,0.07675438596491241
2018-04-23,4.84,4.88,4.79,4.81,5179080,5179080,-0.1,-2.037,4.8248,Apr 23,0.054824561403508776
2018-04-24,4.83,4.915,4.73,4.8,5382071,5382071,-0.01,-0.208,4.8191,Apr 24,0.052631578947368474
2018-04-25,4.7,4.81,4.62,4.75,8588249,8588249,-0.05,-1.042,4.7079,Apr 25,0.041666666666666755
2018-04-26,4.78,4.89,4.74,4.85,3209755,3209755,0.1,2.105,4.8188,Apr 26,0.06359649122807019
2018-04-27,4.9,4.915,4.74,4.74,8283571,8283571,-0.11,-2.268,4.7966,Apr 27,0.03947368421052645
2018-04-30,4.76,4.79,4.67,4.67,3888644,3888644,-0.07,-1.477,4.7076,Apr 30,0.02412280701754393
2018-05-01,4.58,4.61,4.47,4.58,4560979,4560979,-0.09,-1.927,4.5437,May 1,0.004385964912280803
2018-05-02,4.66,4.67,4.521,4.54,4715654,4715654,-0.04,-0.873,4.6043,May 2,-0.004385964912280609
2018-05-03,4.55,4.67,4.515,4.61,7919090,7919090,0.07,1.542,4.568,May 3,0.010964912280701912
2018-05-04,4.62,4.77,4.62,4.71,3650431,3650431,0.1,2.169,4.707,May 4,0.032894736842105345
2018-05-07,4.73,4.74,4.54,4.55,6928902,6928902,-0.16,-3.397,4.6152,May 7,-0.0021929824561403044
2018-05-08,4.53,4.6,4.425,4.53,11218323,11218323,-0.02,-0.44,4.5145,May 8,-0.006578947368420913
