date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-05-15,3.0626,3.1869,3.0626,3.1422,13986431,13986431,0.129267,4.29,3.1399,"May 15, 17",0
2017-05-16,3.2217,3.2913,3.1447,3.2814,8855724,8855724,0.13921,4.43,3.2344,"May 16, 17",0.04430017185411502
2017-05-17,3.2416,3.3013,3.1521,3.172,8229074,8229074,-0.10938,-3.333,3.2206,"May 17, 17",0.009483801158424121
2017-05-18,2.7444,2.8737,2.5853,2.6351,21950937,21950937,-0.536955,-16.928,2.7028,"May 18, 17",-0.161383743873719
2017-05-19,2.7942,2.9334,2.746,2.8638,8753863,8753863,0.228702,8.679,2.8577,"May 19, 17",-0.0886003437082299
2017-05-22,2.7842,2.8334,2.6947,2.8041,11046292,11046292,-0.05966,-2.083,2.7694,"May 22, 17",-0.10759977086118001
2017-05-23,2.8041,2.9632,2.7942,2.9533,11122193,11122193,0.149153,5.319,2.8985,"May 23, 17",-0.06011711539685566
2017-05-24,2.9533,2.9831,2.8836,2.8836,11165218,11165218,-0.069606,-2.357,2.9422,"May 24, 17",-0.08229902616001526
2017-05-25,2.8737,2.9632,2.8041,2.8638,8846327,8846327,-0.019887,-0.69,2.8735,"May 25, 17",-0.0886003437082299
2017-05-26,2.8936,2.9234,2.8439,2.8737,9417740,9417740,0.009944,0.347,2.8782,"May 26, 17",-0.08544968493412258
2017-05-30,2.9334,2.993,2.9035,2.993,11241209,11241209,0.119324,4.152,2.9501,"May 30, 17",-0.04748265546432436
2017-05-31,2.9731,2.998,2.8737,2.8836,10661443,10661443,-0.109381,-3.655,2.9144,"May 31, 17",-0.08229902616001526
2017-06-01,2.9234,2.9632,2.8339,2.8638,4202156,4202156,-0.019887,-0.69,2.8896,"Jun 1, 17",-0.0886003437082299
2017-06-02,2.9334,2.9433,2.8638,2.8638,5440048,5440048,0,0,2.8926,"Jun 2, 17",-0.0886003437082299
2017-06-05,2.8439,2.8836,2.7842,2.8041,3869334,3869334,-0.05966,-2.083,2.8081,"Jun 5, 17",-0.10759977086118001
2017-06-06,2.824,2.8836,2.7544,2.8041,9166773,9166773,0,0,2.8118,"Jun 6, 17",-0.10759977086118001
2017-06-07,2.8439,2.8737,2.7444,2.7842,12013995,12013995,-0.019887,-0.709,2.7967,"Jun 7, 17",-0.11393291324549681
2017-06-08,2.7345,2.9035,2.7146,2.8836,9965943,9965943,0.099434,3.571,2.8109,"Jun 8, 17",-0.08229902616001526
2017-06-09,2.8936,2.9632,2.8638,2.8737,8000616,8000616,-0.009943,-0.345,2.9212,"Jun 9, 17",-0.08544968493412258
2017-06-12,2.8638,2.9185,2.7842,2.8041,9090629,9090629,-0.069604,-2.422,2.8251,"Jun 12, 17",-0.10759977086118001
2017-06-13,2.8041,2.8538,2.7743,2.8041,10566450,10566450,0,0,2.8029,"Jun 13, 17",-0.10759977086118001
2017-06-14,2.8339,2.8538,2.7246,2.7544,7416102,7416102,-0.049719,-1.773,2.7777,"Jun 14, 17",-0.1234167144039208
2017-06-15,2.7345,2.7444,2.5853,2.6649,7821677,7821677,-0.089492,-3.249,2.6448,"Jun 15, 17",-0.15189994271529503
2017-06-16,2.6649,2.7146,2.645,2.6848,6350835,6350835,0.019887,0.746,2.6826,"Jun 16, 17",-0.14556680033097824
2017-06-19,2.6848,2.7643,2.6848,2.7146,3991432,3991432,0.02983,1.111,2.7228,"Jun 19, 17",-0.13608299917255426
2017-06-20,2.6848,2.6997,2.6052,2.6351,9074230,9074230,-0.079548,-2.93,2.6335,"Jun 20, 17",-0.161383743873719
2017-06-21,2.6549,2.7047,2.6251,2.6748,5845560,5845560,0.039775,1.509,2.6681,"Jun 21, 17",-0.14874928394118772
2017-06-22,2.6848,2.7643,2.6789,2.7643,4541821,4541821,0.089492,3.346,2.7302,"Jun 22, 17",-0.12026605562981348
2017-06-23,2.7643,2.8936,2.7295,2.8538,10314251,10314251,0.089492,3.237,2.8465,"Jun 23, 17",-0.09178282731843924
2017-06-26,2.9035,2.9831,2.8638,2.9632,7641136,7641136,0.10938,3.833,2.9302,"Jun 26, 17",-0.05696645662274834
2017-06-27,2.9632,3.0179,2.9234,2.9234,4831253,4831253,-0.039775,-1.342,2.9607,"Jun 27, 17",-0.0696327413913818
2017-06-28,2.9831,3.0825,2.9831,3.0626,8207795,8207795,0.139211,4.762,3.038,"Jun 28, 17",-0.02533256953726678
2017-06-29,3.0726,3.1024,2.9582,3.003,7909465,7909465,-0.059662,-1.948,3.0204,"Jun 29, 17",-0.04430017185411488
2017-06-30,3.0129,3.0726,2.993,3.0328,7123021,7123021,0.029831,0.993,3.039,"Jun 30, 17",-0.0348163706956909
2017-07-03,3.0726,3.1223,3.0527,3.0726,2838803,2838803,0.039775,1.311,3.083,"Jul 3, 17",-0.02215008592705744
2017-07-05,3.0726,3.1422,3.0229,3.1422,6788791,6788791,0.069606,2.265,3.0933,"Jul 5, 17",0
2017-07-06,3.1024,3.2217,3.0726,3.1621,5371692,5371692,0.019887,0.633,3.1512,"Jul 6, 17",0.0063331423843168005
2017-07-07,3.2118,3.2217,3.1074,3.1919,9411181,9411181,0.029831,0.943,3.1743,"Jul 7, 17",0.01581694354274078
2017-07-10,3.2217,3.3311,3.2118,3.3112,5873409,5873409,0.119324,3.738,3.2845,"Jul 10, 17",0.053783973012538996
2017-07-11,3.3013,3.351,3.2814,3.3013,3998199,3998199,-0.009945,-0.3,3.311,"Jul 11, 17",0.05063331423843168
2017-07-12,3.3709,3.3957,3.2715,3.3709,6173486,6173486,0.069606,2.108,3.3485,"Jul 12, 17",0.07278340016548912
2017-07-13,3.3709,3.3709,3.2715,3.351,12182680,12182680,-0.019887,-0.59,3.3161,"Jul 13, 17",0.06645025778117246
2017-07-14,3.3709,3.4057,3.3421,3.351,4086360,4086360,0,0,3.3744,"Jul 14, 17",0.06645025778117246
2017-07-17,3.3908,3.4306,3.356,3.4007,3756382,3756382,0.049718,1.484,3.3897,"Jul 17, 17",0.08226720132391324
2017-07-18,3.3908,3.4007,3.3311,3.3709,2562423,2562423,-0.029831,-0.877,3.3574,"Jul 18, 17",0.07278340016548912
2017-07-19,3.3908,3.4604,3.3719,3.4604,4909939,4909939,0.089492,2.655,3.4235,"Jul 19, 17",0.10126662847686337
2017-07-20,3.4504,3.4504,3.3411,3.4007,5026765,5026765,-0.059661,-1.724,3.395,"Jul 20, 17",0.08226720132391324
2017-07-21,3.4107,3.4306,3.3013,3.3311,4935772,4935772,-0.069605,-2.047,3.3454,"Jul 21, 17",0.060117115396855804
2017-07-24,3.351,3.4206,3.3212,3.4107,3327146,3327146,0.079548,2.388,3.3781,"Jul 24, 17",0.08544968493412258
2017-07-25,3.4604,3.5101,3.4007,3.4405,3106887,3106887,0.029832,0.875,3.4463,"Jul 25, 17",0.0949334860925467
2017-07-26,3.3609,3.3808,3.2715,3.3013,9496900,9496900,-0.139212,-4.046,3.3036,"Jul 26, 17",0.05063331423843168
2017-07-27,3.3212,3.3212,3.2516,3.2814,4885197,4885197,-0.019887,-0.602,3.2842,"Jul 27, 17",0.04430017185411502
2017-07-28,3.2615,3.3311,3.2367,3.3013,4891221,4891221,0.019887,0.606,3.2817,"Jul 28, 17",0.05063331423843168
2017-07-31,3.3709,3.3908,3.3212,3.351,6149237,6149237,0.049719,1.506,3.3487,"Jul 31, 17",0.06645025778117246
2017-08-01,3.3311,3.3609,3.2913,3.2913,3340272,3340272,-0.059662,-1.78,3.3194,"Aug 1, 17",0.04745083062822234
2017-08-02,3.2913,3.4306,3.2814,3.4107,5412999,5412999,0.119323,3.625,3.3708,"Aug 2, 17",0.08544968493412258
2017-08-03,3.4206,3.4504,3.3709,3.4306,4794148,4794148,0.019888,0.583,3.4102,"Aug 3, 17",0.09178282731843938
2017-08-04,3.4306,3.525,3.4107,3.5002,9466406,9466406,0.069605,2.029,3.4756,"Aug 4, 17",0.11393291324549681
2017-08-07,3.5598,3.6891,3.5598,3.6593,8276215,8276215,0.159098,4.545,3.6393,"Aug 7, 17",0.1645662274839285
2017-08-08,3.6095,3.6791,3.5598,3.6095,5943265,5943265,-0.049718,-1.359,3.6114,"Aug 8, 17",0.14871745910508571
2017-08-09,3.5698,3.5996,3.4902,3.53,17577319,17577319,-0.07955,-2.204,3.5333,"Aug 9, 17",0.1234167144039208
2017-08-10,3.53,3.5698,3.4604,3.5499,10992498,10992498,0.019888,0.563,3.5146,"Aug 10, 17",0.1297498567882376
2017-08-11,3.5002,3.53,3.4554,3.4803,6553422,6553422,-0.069605,-1.961,3.495,"Aug 11, 17",0.10759977086118017
2017-08-14,3.4703,3.52,3.4206,3.4306,5217361,5217361,-0.049718,-1.429,3.4723,"Aug 14, 17",0.09178282731843938
2017-08-15,3.4206,3.4455,3.3808,3.4007,3088223,3088223,-0.029831,-0.87,3.4078,"Aug 15, 17",0.08226720132391324
2017-08-16,3.4504,3.53,3.4405,3.52,6254432,6254432,0.119323,3.509,3.4858,"Aug 16, 17",0.12023423079371146
2017-08-17,3.4902,3.5896,3.4604,3.4604,9092309,9092309,-0.059662,-1.695,3.536,"Aug 17, 17",0.10126662847686337
2017-08-18,3.5399,3.5499,3.4852,3.5002,4382382,4382382,0.039775,1.149,3.511,"Aug 18, 17",0.11393291324549681
