date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-04-09,2.52,2.52,2.44,2.44,2259073,2259073,-0.08,-3.175,2.4829,Apr 9,0
2018-04-10,2.48,2.51,2.46,2.46,1673029,1673029,0.02,0.82,2.4819,Apr 10,0.008196721311475417
2018-04-11,2.51,2.6,2.495,2.55,4532131,4532131,0.09,3.659,2.5637,Apr 11,0.04508196721311471
2018-04-12,2.6,2.62,2.57,2.59,1253638,1253638,0.04,1.569,2.5953,Apr 12,0.06147540983606554
2018-04-13,2.61,2.62,2.52,2.53,1725656,1725656,-0.06,-2.317,2.5603,Apr 13,0.03688524590163929
2018-04-16,2.52,2.53,2.45,2.49,1888542,1888542,-0.04,-1.581,2.4835,Apr 16,0.020491803278688634
2018-04-17,2.52,2.57,2.5,2.54,1268195,1268195,0.05,2.008,2.5423,Apr 17,0.04098360655737709
2018-04-18,2.6,2.74,2.6,2.73,5694486,5694486,0.19,7.48,2.687,Apr 18,0.11885245901639346
2018-04-19,2.7243,2.75,2.7,2.74,4952199,4952199,0.01,0.366,2.721,Apr 19,0.12295081967213126
2018-04-20,2.72,2.75,2.625,2.65,5017727,5017727,-0.09,-3.285,2.7023,Apr 20,0.08606557377049179
2018-04-23,2.62,2.68,2.595,2.63,1711562,1711562,-0.02,-0.755,2.6359,Apr 23,0.07786885245901637
2018-04-24,2.64,2.68,2.58,2.63,1896481,1896481,0,0,2.6281,Apr 24,0.07786885245901637
2018-04-25,2.58,2.61,2.53,2.59,1451430,1451430,-0.04,-1.521,2.5791,Apr 25,0.06147540983606554
2018-04-26,2.61,2.66,2.59,2.64,1502758,1502758,0.05,1.931,2.6256,Apr 26,0.08196721311475418
2018-04-27,2.66,2.67,2.56,2.56,2114225,2114225,-0.08,-3.03,2.6014,Apr 27,0.04918032786885251
2018-04-30,2.58,2.59,2.49,2.51,2044476,2044476,-0.05,-1.953,2.5209,Apr 30,0.02868852459016387
2018-05-01,2.49,2.55,2.415,2.5,4286719,4286719,-0.01,-0.398,2.4935,May 1,0.024590163934426253
2018-05-02,2.54,2.585,2.5,2.5,2386438,2386438,0,0,2.544,May 2,0.024590163934426253
2018-05-03,2.5,2.5,2.39,2.43,1534597,1534597,-0.07,-2.8,2.4391,May 3,-0.0040983606557376175
2018-05-04,2.42,2.5,2.405,2.45,1710615,1710615,0.02,0.823,2.46,May 4,0.0040983606557378
2018-05-07,2.43,2.47,2.35,2.35,1561269,1561269,-0.1,-4.082,2.3927,May 7,-0.03688524590163929
2018-05-08,2.38,2.39,2.3,2.35,3337020,3337020,0,0,2.3398,May 8,-0.03688524590163929
