date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-05-15,2.34,2.46,2.34,2.45,2104095,2104095,0.13,5.603,2.4164,"May 15, 17",0
2017-05-16,2.47,2.51,2.43,2.49,1836098,1836098,0.04,1.633,2.476,"May 16, 17",0.01632653061224491
2017-05-17,2.46,2.47,2.33,2.37,2323268,2323268,-0.12,-4.819,2.3817,"May 17, 17",-0.03265306122448982
2017-05-18,2.19,2.2,1.895,1.91,6658423,6658423,-0.46,-19.409,1.9908,"May 18, 17",-0.2204081632653062
2017-05-19,2.05,2.13,2.02,2.1,2620823,2620823,0.19,9.948,2.0908,"May 19, 17",-0.14285714285714288
2017-05-22,2.06,2.115,1.96,2.1,3082981,3082981,0,0,2.044,"May 22, 17",-0.14285714285714288
2017-05-23,2.07,2.18,2.065,2.13,2059423,2059423,0.03,1.429,2.1286,"May 23, 17",-0.13061224489795928
2017-05-24,2.1,2.16,2.09,2.09,1521691,1521691,-0.04,-1.878,2.1172,"May 24, 17",-0.1469387755102042
2017-05-25,2.07,2.15,2.05,2.1,1476700,1476700,0.01,0.478,2.0848,"May 25, 17",-0.14285714285714288
2017-05-26,2.12,2.14,2.11,2.12,804253,804253,0.02,0.952,2.1226,"May 26, 17",-0.13469387755102044
2017-05-30,2.17,2.2,2.15,2.19,1605086,1605086,0.07,3.302,2.1755,"May 30, 17",-0.10612244897959193
2017-05-31,2.16,2.185,2.07,2.07,2415941,2415941,-0.12,-5.479,2.1027,"May 31, 17",-0.15510204081632667
2017-06-01,2.12,2.1399,2.03,2.03,1205325,1205325,-0.04,-1.932,2.0747,"Jun 1, 17",-0.17142857142857157
2017-06-02,2.1,2.1,2.02,2.05,1056638,1056638,0.02,0.985,2.0479,"Jun 2, 17",-0.1632653061224491
2017-06-05,2.01,2.045,1.985,2.01,1360488,1360488,-0.04,-1.951,2.0059,"Jun 5, 17",-0.17959183673469403
2017-06-06,2.02,2.04,1.96,1.98,2038172,2038172,-0.03,-1.493,1.9896,"Jun 6, 17",-0.1918367346938776
2017-06-07,2.01,2.02,1.93,1.93,2309770,2309770,-0.05,-2.525,1.9591,"Jun 7, 17",-0.21224489795918375
2017-06-08,1.93,2.02,1.86,2.02,5575831,5575831,0.09,4.663,1.9171,"Jun 8, 17",-0.1755102040816327
2017-06-09,2.01,2.08,1.991,2.01,2657818,2657818,-0.01,-0.495,2.0419,"Jun 9, 17",-0.17959183673469403
2017-06-12,2,2.04,1.92,1.95,1881702,1881702,-0.06,-2.985,1.973,"Jun 12, 17",-0.2040816326530613
2017-06-13,1.94,1.95,1.9,1.91,1035892,1035892,-0.04,-2.051,1.9229,"Jun 13, 17",-0.2204081632653062
2017-06-14,1.95,1.96,1.91,1.94,975350,975350,0.03,1.571,1.9349,"Jun 14, 17",-0.20816326530612253
2017-06-15,1.89,2,1.81,1.91,2819470,2819470,-0.03,-1.546,1.8713,"Jun 15, 17",-0.2204081632653062
