date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-04-09,12.61,12.7,12.41,12.5,17475649,17475649,-0.16,-1.264,12.5429,Apr 9,0
2018-04-10,12.85,13.115,12.755,13.1,23962302,23962302,0.6,4.8,12.9602,Apr 10,0.04799999999999997
2018-04-11,13.1,13.2,12.97,13.14,20759580,20759580,0.04,0.305,13.0987,Apr 11,0.051200000000000044
2018-04-12,13.15,13.225,13.02,13.08,10912011,10912011,-0.06,-0.457,13.1165,Apr 12,0.046400000000000004
2018-04-13,13.19,13.23,12.99,13.12,11154520,11154520,0.04,0.306,13.1109,Apr 13,0.049599999999999936
2018-04-16,13.11,13.12,12.88,12.98,11267790,11267790,-0.14,-1.067,12.9551,Apr 16,0.03840000000000003
2018-04-17,13.12,13.4766,13.09,13.44,21523291,21523291,0.46,3.544,13.3668,Apr 17,0.07519999999999996
2018-04-18,13.83,14.1847,13.82,14.01,31348230,31348230,0.57,4.241,14.0548,Apr 18,0.12079999999999998
2018-04-19,14.02,14.16,13.92,14.12,19540774,19540774,0.11,0.785,14.0623,Apr 19,0.12959999999999994
2018-04-20,13.95,14.0499,13.85,14,15848535,15848535,-0.12,-0.85,13.9538,Apr 20,0.12
2018-04-23,13.74,13.95,13.65,13.74,15413664,15413664,-0.26,-1.857,13.787,Apr 23,0.09920000000000001
2018-04-24,13.83,14.02,13.78,13.95,30104030,30104030,0.21,1.528,13.9155,Apr 24,0.11599999999999994
2018-04-25,13.65,13.8699,13.52,13.68,26220801,26220801,-0.27,-1.935,13.686,Apr 25,0.09439999999999998
2018-04-26,13.72,14.07,13.59,14,21626390,21626390,0.32,2.339,13.8624,Apr 26,0.12
2018-04-27,14.1,14.11,13.765,13.95,20651344,20651344,-0.05,-0.357,13.9178,Apr 27,0.11599999999999994
2018-04-30,13.89,14.03,13.825,13.84,13101654,13101654,-0.11,-0.789,13.9057,Apr 30,0.10719999999999999
2018-05-01,13.91,13.91,13.4,13.54,15790210,15790210,-0.3,-2.168,13.5352,May 1,0.08319999999999993
2018-05-02,13.79,13.92,13.67,13.73,17546020,17546020,0.19,1.403,13.8014,May 2,0.09840000000000003
2018-05-03,13.79,13.98,13.62,13.89,19727339,19727339,0.16,1.165,13.834,May 3,0.11120000000000005
2018-05-04,13.9,14.17,13.87,14.08,19284665,19284665,0.19,1.368,14.0527,May 4,0.1264
2018-05-07,13.96,14.03,13.825,13.85,14285864,14285864,-0.23,-1.634,13.9167,May 7,0.10799999999999997
2018-05-08,13.72,13.92,13.68,13.74,24389229,24389229,-0.11,-0.794,13.7932,May 8,0.09920000000000001
