date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-05-15,8.1025,8.2868,8.0928,8.2577,24107986,24107986,0.242589,3.027,8.1991,"May 15, 17",0
2017-05-16,8.4227,8.5682,8.3451,8.51,27499182,27499182,0.252293,3.055,8.4768,"May 16, 17",0.030553301766835798
2017-05-17,8.5197,8.5294,8.248,8.2868,22732578,22732578,-0.223181,-2.623,8.3541,"May 17, 17",0.003523983675841903
2017-05-18,7.268,7.9957,7.2486,7.7628,85122300,85122300,-0.523993,-6.323,7.7336,"May 18, 17",-0.05993194230839089
2017-05-19,8.0928,8.2965,8.0345,8.1704,25211976,25211976,0.40755,5.25,8.1805,"May 19, 17",-0.010571951027525709
2017-05-22,8.1025,8.3414,8.0539,8.2383,28057017,28057017,0.067926,0.831,8.198,"May 22, 17",-0.002349322450561197
2017-05-23,8.1122,8.4372,8.1025,8.3742,25211097,25211097,0.135848,1.649,8.3435,"May 23, 17",0.014108044612906774
2017-05-24,8.1801,8.2868,8.0928,8.2092,26629724,26629724,-0.164959,-1.97,8.18,"May 24, 17",-0.005873306126403315
2017-05-25,8.1219,8.2771,8.0734,8.2189,24887777,24887777,0.009703,0.118,8.1513,"May 25, 17",-0.004698644901122609
2017-05-26,8.2286,8.3256,8.151,8.2771,16257797,16257797,0.058222,0.708,8.2618,"May 26, 17",0.002349322450561412
2017-05-30,8.3839,8.6168,8.3062,8.5003,25185110,25185110,0.223181,2.696,8.5129,"May 30, 17",0.029378640541555093
2017-05-31,8.4033,8.4033,8.0345,8.1219,38149427,38149427,-0.378439,-4.452,8.1502,"May 31, 17",-0.016445257153929024
2017-06-01,8.1316,8.1704,7.9375,7.9472,22154151,22154151,-0.174664,-2.151,8.0333,"Jun 1, 17",-0.037601269118519715
2017-06-02,8.0734,8.0734,7.8987,7.9666,22730855,22730855,0.019406,0.244,7.969,"Jun 2, 17",-0.03525194666795841
2017-06-05,7.8308,7.9084,7.7434,7.8502,21499017,21499017,-0.11644,-1.462,7.8166,"Jun 5, 17",-0.049347881371326126
2017-06-06,7.889,8.0442,7.8696,7.8987,18811904,18811904,0.048516,0.618,7.9468,"Jun 6, 17",-0.04347457524492292
2017-06-07,7.9472,7.9666,7.7822,7.8599,16555943,16555943,-0.038813,-0.491,7.8524,"Jun 7, 17",-0.048173220146045526
2017-06-08,7.8308,8.1122,7.7968,8.0248,29191273,29191273,0.16496,2.099,7.9795,"Jun 8, 17",-0.028203979316274386
2017-06-09,8.0151,8.1801,8.0054,8.0637,26984278,26984278,0.038815,0.484,8.0988,"Jun 9, 17",-0.02349322450561283
2017-06-12,8.0442,8.1025,7.7628,7.889,28141211,28141211,-0.174664,-2.166,7.9214,"Jun 12, 17",-0.04464923647020352
2017-06-13,7.7822,7.8696,7.6755,7.7628,27976107,27976107,-0.126148,-1.599,7.7484,"Jun 13, 17",-0.05993194230839089
2017-06-14,7.8987,7.9084,7.6464,7.7143,25768959,25768959,-0.048518,-0.625,7.7339,"Jun 14, 17",-0.06580524843479421
2017-06-15,7.5591,7.6804,7.4232,7.6076,29113734,29113734,-0.106739,-1.384,7.5675,"Jun 15, 17",-0.07872652191288133
2017-06-16,7.6173,7.6804,7.5008,7.6464,24826166,24826166,0.038814,0.51,7.6042,"Jun 16, 17",-0.07402787701175872
2017-06-19,7.6755,7.9569,7.6755,7.792,25775905,25775905,0.145556,1.904,7.8388,"Jun 19, 17",-0.05639584872301004
2017-06-20,7.6658,7.6852,7.4523,7.5397,26112114,26112114,-0.252293,-3.238,7.5478,"Jun 20, 17",-0.08694915048984583
2017-06-21,7.6658,7.8211,7.627,7.7143,25073992,25073992,0.174662,2.317,7.7129,"Jun 21, 17",-0.06580524843479421
2017-06-22,7.7337,8.0054,7.7337,7.8599,39189297,39189297,0.145555,1.887,7.9175,"Jun 22, 17",-0.048173220146045526
2017-06-23,7.9375,8.0345,7.792,7.9278,28376583,28376583,0.067925,0.864,7.9507,"Jun 23, 17",-0.03995059156908091
2017-06-26,8.0734,8.1219,7.9957,8.0928,20459796,20459796,0.16496,2.081,8.0746,"Jun 26, 17",-0.019969240829770928
